name,url,country,article_title,revision_id,quality_score
Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,Aćif_Hadžiahmetović,1229938943,Start
High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,High_Council_of_Regency,1245450388,C
Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,Kurt_Agë_Kadiu,1244486529,GA
Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,Mehmed_Kalakula,1145510350,Stub
Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,Alfred_Karamuço,1098236555,C
Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,Ibrahim_Karbunara,1235824719,Start
Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,Ali_Këlcyra,1227369252,Stub
Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,Bajram_Kelmendi,1237006808,Start
Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,Kristo_Kirka,1237950375,Stub
Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,Elez_Koçi,1174010569,C
Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,Xhelal_Koprëncka,1209148780,Stub
Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,Kryeziu_family,1236739222,Stub
Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,Artur_Kuko,1112281132,Start
Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,Xhavid_Leskoviku,1180950536,Stub
Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,Sabit_Lulo,1180950488,Start
Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,Gjon_Markagjoni,1227760361,GA
Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,Tefik_Mborja,1234673487,Start
Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,Hysni_Milloshi,1218412314,Start
Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,Musa_Qazimi,1235824584,Start
Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,Mustafa_Ndroqi,1198219291,Start
Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,Behxhet_Nepravishta,1180949734,C
Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,Adrian_Neritani,1196135017,Start
Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,Sali_Nivica,1240539074,C
Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,Thoma_Orologa,1180949774,Start
Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,Bedri_Pejani,1220757655,Stub
Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,Kadri_Prishtina,1198167947,Stub
Ymer Prizreni,https://en.wikipedia.org/wiki/Ymer_Prizreni,Albania,Ymer_Prizreni,1215667416,Start
Avni Rustemi,https://en.wikipedia.org/wiki/Avni_Rustemi,Albania,Avni_Rustemi,1229276965,Start
Chatin Sarachi,https://en.wikipedia.org/wiki/Chatin_Sarachi,Albania,Chatin_Sarachi,1141930406,Stub
Nebi Sefa,https://en.wikipedia.org/wiki/Nebi_Sefa,Albania,Nebi_Sefa,1244486537,C
Eduard Shalsi,https://en.wikipedia.org/wiki/Eduard_Shalsi,Albania,Eduard_Shalsi,1173107489,Stub
Ylli Vesel Shehu,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,Albania,Ylli_Vesel_Shehu,1250811470,Start
Athanas Shundi,https://en.wikipedia.org/wiki/Athanas_Shundi,Albania,Athanas_Shundi,1220369492,Stub
Xhelal Sveçla,https://en.wikipedia.org/wiki/Xhelal_Sveçla,Albania,Xhelal_Sveçla,1217259369,Stub
Mehmet Tahsini,https://en.wikipedia.org/wiki/Mehmet_Tahsini,Albania,Mehmet_Tahsini,1239924043,C
Ibrahim Temo,https://en.wikipedia.org/wiki/Ibrahim_Temo,Albania,Ibrahim_Temo,1228151428,Start
Afrim Tole,https://en.wikipedia.org/wiki/Afrim_Tole,Albania,Afrim_Tole,1241836925,GA
Syreja Vlora,https://en.wikipedia.org/wiki/Syreja_Vlora,Albania,Syreja_Vlora,1186986269,Start
Visarion Xhuvani,https://en.wikipedia.org/wiki/Visarion_Xhuvani,Albania,Visarion_Xhuvani,1135323365,Start
Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,Visar_Ymeri,1248230838,Stub
Abdyl Ypi,https://en.wikipedia.org/wiki/Abdyl_Ypi,Albania,Abdyl_Ypi,1220281072,C
Xhezair Zaganjori,https://en.wikipedia.org/wiki/Xhezair_Zaganjori,Albania,Xhezair_Zaganjori,1143896123,Stub
Menduh Zavalani,https://en.wikipedia.org/wiki/Menduh_Zavalani,Albania,Menduh_Zavalani,1235824554,Start
Abdelkader Zoukh,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,Algeria,Abdelkader_Zoukh,1250270534,Stub
Chaâbane Aït Abderrahim,https://en.wikipedia.org/wiki/Chaâbane_Aït_Abderrahim,Algeria,Chaâbane_Aït_Abderrahim,1234096174,Start
Ali Aoun,https://en.wikipedia.org/wiki/Ali_Aoun,Algeria,Ali_Aoun,1214835889,Start
Basma Azouar,https://en.wikipedia.org/wiki/Basma_Azouar,Algeria,Basma_Azouar,1192088820,Stub
Mohamed Seghir Babes,https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes,Algeria,Mohamed_Seghir_Babes,1226280389,Stub
Noureddine Bahbouh,https://en.wikipedia.org/wiki/Noureddine_Bahbouh,Algeria,Noureddine_Bahbouh,1099284595,Stub
